Month,Efina,Volume,Turnover,Voli,TMC,NLC,IndexSH,IndexSZ
2016.05,1097,653319,90706,45140,448641,2874,2917,10160
2016.06,1158,778054,114725,46276,462921,2887,2930,10490
2016.07,1255,897943,127257,46818,466464,2900,2979,10329
2016.08,1347,839696,111767,47315,491635,2930,3085,10758
2016.09,1890,621242,82633,47889,485008,2952,3005,10568
2016.1,1303,590804,77246,48233,504898,2974,3100,10704
2016.11,1004,1022788,136470,48452,530670,3008,3250,11012
2016.12,1096,762885,98288,48750,507686,3052,3104,10177
2017.01,1740,540556,67642,49348,517248,3105,3159,10052
2017.02,572,646348,80836,49506,538212,3137,3242,10391
2017.03,965,816227,115943,49757,539588,3185,3223,10429
2017.04,1235,734887,92082,50177,527481,3223,3155,10235
2017.05,549,648501,81304,50891,513613,3261,3117,9865
2017.06,565,678445,84759,51837,534322,3297,3192,10530
2017.07,609,830406,97612,52384,542177,3326,3273,10505
2017.08,666,986758,117672,52624,561973,3362,3361,10817
2017.09,1330,885243,115101,52844,569301,3399,3349,11087
2017.1,934,589506,79400,53044,579121,3426,3393,11368
2017.11,1452,811859,112035,53325,564016,3462,3317,10944
2017.12,1139,609349,80238,53747,567086,3485,3307,11040
2018.01,1137,900291,114890,53987,585573,3500,3481,11160
2018.02,379,544384,64393,54201,561646,3512,3259,10829
2018.03,507,812693,103299,54370,559519,3522,3169,10869
2018.04,574,619157,82388,54586,542533,3531,3082,10324
2018.05,465,678854,89887,55150,544220,3539,3095,10296
2018.06,354,578913,69820,55914,504217,3547,2847,9379
