DATE,CISS
2003/7/11,0.1336
2003/7/18,0.0797
2003/7/25,0.0639
2003/8/1,0.0638
2003/8/8,0.0632
2003/8/15,0.0739
2003/8/22,0.1503
2003/8/29,0.098
2003/9/5,0.0826
2003/9/12,0.0708
2003/9/19,0.0787
2003/9/26,0.0819
2003/10/3,0.1183
2003/10/10,0.1023
2003/10/17,0.0793
2003/10/24,0.0722
2003/10/31,0.0739
2003/11/7,0.082
2003/11/14,0.0586
2003/11/21,0.0579
2003/11/28,0.07
2003/12/5,0.0583
2003/12/12,0.0526
2003/12/19,0.0392
2003/12/26,0.0341
2004/1/2,0.0551
2004/1/9,0.122
2004/1/16,0.0998
2004/1/23,0.083
2004/1/30,0.0673
2004/2/6,0.0531
2004/2/13,0.072
2004/2/20,0.071
2004/2/27,0.0719
2004/3/5,0.0973
2004/3/12,0.0933
2004/3/19,0.084
2004/3/26,0.0822
2004/4/2,0.0773
2004/4/9,0.093
2004/4/16,0.0809
2004/4/23,0.0731
2004/4/30,0.0773
2004/5/7,0.0647
2004/5/14,0.0902
2004/5/21,0.0675
2004/5/28,0.0525
2004/6/4,0.0482
2004/6/11,0.0479
2004/6/18,0.0439
2004/6/25,0.0334
2004/7/2,0.0372
2004/7/9,0.0281
2004/7/16,0.0398
2004/7/23,0.0688
2004/7/30,0.0819
2004/8/6,0.0869
2004/8/13,0.0626
2004/8/20,0.0429
2004/8/27,0.0716
2004/9/3,0.0797
2004/9/10,0.068
2004/9/17,0.0648
2004/9/24,0.0595
2004/10/1,0.0807
2004/10/8,0.0525
2004/10/15,0.0714
2004/10/22,0.0675
2004/10/29,0.0649
2004/11/5,0.062
2004/11/12,0.0525
2004/11/19,0.0512
2004/11/26,0.0433
2004/12/3,0.0592
2004/12/10,0.0487
2004/12/17,0.0544
2004/12/24,0.0472
2004/12/31,0.0493
2005/1/7,0.0821
2005/1/14,0.0565
2005/1/21,0.0482
2005/1/28,0.0482
2005/2/4,0.0913
2005/2/11,0.06
2005/2/18,0.0573
2005/2/25,0.0925
2005/3/4,0.0644
2005/3/11,0.0796
2005/3/18,0.0852
2005/3/25,0.0716
2005/4/1,0.0573
2005/4/8,0.069
2005/4/15,0.0871
2005/4/22,0.12
2005/4/29,0.1289
2005/5/6,0.1031
2005/5/13,0.1209
2005/5/20,0.0943
2005/5/27,0.076
2005/6/3,0.1187
2005/6/10,0.0674
2005/6/17,0.1316
2005/6/24,0.0916
2005/7/1,0.1105
2005/7/8,0.098
2005/7/15,0.0793
2005/7/22,0.1063
2005/7/29,0.064
2005/8/5,0.0856
2005/8/12,0.0661
2005/8/19,0.0631
2005/8/26,0.0498
2005/9/2,0.0728
2005/9/9,0.0656
2005/9/16,0.0671
2005/9/23,0.0735
2005/9/30,0.1034
2005/10/7,0.1244
2005/10/14,0.1237
2005/10/21,0.1055
2005/10/28,0.1389
2005/11/4,0.1526
2005/11/11,0.1078
2005/11/18,0.0977
2005/11/25,0.0761
2005/12/2,0.1061
2005/12/9,0.0583
2005/12/16,0.0809
2005/12/23,0.0616
2005/12/30,0.0392
2006/1/6,0.0776
2006/1/13,0.082
2006/1/20,0.0841
2006/1/27,0.1115
2006/2/3,0.0923
2006/2/10,0.1044
2006/2/17,0.0743
2006/2/24,0.0778
2006/3/3,0.1119
2006/3/10,0.1187
2006/3/17,0.0572
2006/3/24,0.0548
2006/3/31,0.1
2006/4/7,0.0902
2006/4/14,0.0792
2006/4/21,0.0684
2006/4/28,0.1089
2006/5/5,0.0767
2006/5/12,0.1012
2006/5/19,0.1854
2006/5/26,0.1499
2006/6/2,0.0952
2006/6/9,0.1321
2006/6/16,0.1694
2006/6/23,0.116
2006/6/30,0.1266
2006/7/7,0.1144
2006/7/14,0.1265
2006/7/21,0.1101
2006/7/28,0.1171
2006/8/4,0.1337
2006/8/11,0.0867
2006/8/18,0.0687
2006/8/25,0.0842
2006/9/1,0.057
2006/9/8,0.0818
2006/9/15,0.0648
2006/9/22,0.0849
2006/9/29,0.0752
2006/10/6,0.0575
2006/10/13,0.0504
2006/10/20,0.068
2006/10/27,0.0349
2006/11/3,0.0411
2006/11/10,0.0429
2006/11/17,0.0394
2006/11/24,0.0356
2006/12/1,0.0958
2006/12/8,0.0544
2006/12/15,0.0499
2006/12/22,0.0343
2006/12/29,0.0382
2007/1/5,0.0822
2007/1/12,0.068
2007/1/19,0.0323
2007/1/26,0.0619
2007/2/2,0.0512
2007/2/9,0.0584
2007/2/16,0.095
2007/2/23,0.0492
2007/3/2,0.1669
2007/3/9,0.1414
2007/3/16,0.1985
2007/3/23,0.1869
2007/3/30,0.1024
2007/4/6,0.0914
2007/4/13,0.0832
2007/4/20,0.1106
2007/4/27,0.0677
2007/5/4,0.0594
2007/5/11,0.0634
2007/5/18,0.0518
2007/5/25,0.0633
2007/6/1,0.0718
2007/6/8,0.1001
2007/6/15,0.079
2007/6/22,0.0431
2007/6/29,0.0827
2007/7/6,0.0535
2007/7/13,0.1124
2007/7/20,0.1168
2007/7/27,0.1554
2007/8/3,0.2089
2007/8/10,0.3114
2007/8/17,0.3398
2007/8/24,0.3541
2007/8/31,0.3052
2007/9/7,0.3159
2007/9/14,0.291
2007/9/21,0.357
2007/9/28,0.3131
2007/10/5,0.2487
2007/10/12,0.2338
2007/10/19,0.2135
2007/10/26,0.2754
2007/11/2,0.2477
2007/11/9,0.2576
2007/11/16,0.3116
2007/11/23,0.4099
2007/11/30,0.4127
2007/12/7,0.3683
2007/12/14,0.3695
2007/12/21,0.3497
2007/12/28,0.2006
2008/1/4,0.3125
2008/1/11,0.4121
2008/1/18,0.489
2008/1/25,0.5978
2008/2/1,0.4907
2008/2/8,0.503
2008/2/15,0.4856
2008/2/22,0.3806
2008/2/29,0.4462
2008/3/7,0.4898
2008/3/14,0.5428
2008/3/21,0.5633
2008/3/28,0.5335
2008/4/4,0.4921
2008/4/11,0.4324
2008/4/18,0.5399
2008/4/25,0.4519
2008/5/2,0.3625
2008/5/9,0.3563
2008/5/16,0.3766
2008/5/23,0.4511
2008/5/30,0.3713
2008/6/6,0.5384
2008/6/13,0.46
2008/6/20,0.4063
2008/6/27,0.4219
2008/7/4,0.4893
2008/7/11,0.3876
2008/7/18,0.4143
2008/7/25,0.372
2008/8/1,0.3622
2008/8/8,0.3919
2008/8/15,0.377
2008/8/22,0.3825
2008/8/29,0.3205
2008/9/5,0.4399
2008/9/12,0.4779
2008/9/19,0.5559
2008/9/26,0.5735
2008/10/3,0.7102
2008/10/10,0.7437
2008/10/17,0.7162
2008/10/24,0.7535
2008/10/31,0.7638
2008/11/7,0.7705
2008/11/14,0.7575
2008/11/21,0.7836
2008/11/28,0.8049
2008/12/5,0.756
2008/12/12,0.8397
2008/12/19,0.7769
2008/12/26,0.4302
2009/1/2,0.545
2009/1/9,0.7356
2009/1/16,0.7934
2009/1/23,0.7635
2009/1/30,0.7583
2009/2/6,0.7235
2009/2/13,0.6691
2009/2/20,0.7701
