Date,h=1,h=3,h=12
10/1997,0.559771071,0.694067816,0.850417347
11/1997,0.562644401,0.696668038,0.852787189
12/1997,0.56544416,0.700264284,0.855540113
1/1998,0.571042132,0.704678449,0.85684461
2/1998,0.571822975,0.706492562,0.857056296
3/1998,0.574951744,0.710011415,0.859600193
4/1998,0.582487882,0.717787373,0.864568555
5/1998,0.588509784,0.726290365,0.870960313
6/1998,0.603746161,0.74058173,0.880410682
7/1998,0.61455549,0.754033146,0.890580492
8/1998,0.632773077,0.773055281,0.90357061
9/1998,0.624605989,0.770578858,0.90897105
10/1998,0.614882172,0.76105936,0.905377078
11/1998,0.606423334,0.753301065,0.90083534
12/1998,0.605524887,0.750847354,0.897548368
1/1999,0.60687049,0.751493519,0.896091577
2/1999,0.608819284,0.753607569,0.895973291
3/1999,0.606313383,0.753358377,0.896552956
4/1999,0.606105675,0.755828702,0.898788403
5/1999,0.60651251,0.75835334,0.902329759
6/1999,0.602273972,0.754280052,0.902266293
7/1999,0.59870915,0.751515115,0.90266078
8/1999,0.60012877,0.753011841,0.904577195
9/1999,0.607457134,0.758766496,0.908426211
10/1999,0.620566266,0.770419697,0.915397375
11/1999,0.627574545,0.776190305,0.917092349
12/1999,0.643732803,0.788738974,0.92121353
1/2000,0.663501408,0.804588513,0.926806979
2/2000,0.667668117,0.812921002,0.931496251
3/2000,0.676201339,0.821691258,0.936487042
4/2000,0.693773717,0.838785676,0.945455886
5/2000,0.705339926,0.84660321,0.950560082
6/2000,0.703799764,0.844393496,0.948733503
7/2000,0.686102472,0.830878561,0.942150816
8/2000,0.675813163,0.823022324,0.938276661
9/2000,0.672622704,0.821616835,0.938025692
10/2000,0.67044723,0.819839551,0.936777972
11/2000,0.673224086,0.823152469,0.938836866
12/2000,0.688244633,0.837524195,0.947142923
1/2001,0.697253597,0.845767685,0.950963025
2/2001,0.694426285,0.842351549,0.94618012
3/2001,0.690367709,0.838021458,0.942748481
4/2001,0.694571616,0.83889569,0.940288235
5/2001,0.691465208,0.834918516,0.936014511
6/2001,0.69508948,0.836152583,0.934526733
7/2001,0.708468034,0.846299662,0.937327003
8/2001,0.733319796,0.867478457,0.943982309
9/2001,0.77361835,0.901773096,0.954929691
10/2001,0.778217934,0.90277445,0.952684665
11/2001,0.754577919,0.879429211,0.942000618
12/2001,0.726285347,0.855147943,0.932800496
1/2002,0.710828199,0.839933282,0.925682564
2/2002,0.686506911,0.819130076,0.91792922
3/2002,0.672155487,0.807578223,0.914543899
4/2002,0.653985384,0.790130667,0.90538554
5/2002,0.636740292,0.77564497,0.89881643
6/2002,0.634655313,0.772525065,0.896201074
7/2002,0.633696611,0.772784505,0.89682032
8/2002,0.630857954,0.770843288,0.897009708
9/2002,0.631099367,0.771920077,0.89827725
10/2002,0.633398276,0.775096909,0.902124891
11/2002,0.641192219,0.783084918,0.908303474
12/2002,0.65107825,0.792276625,0.913440812
1/2003,0.662794223,0.802547363,0.918733654
2/2003,0.670217126,0.809050743,0.920594085
3/2003,0.668909758,0.810678361,0.922721583
4/2003,0.675788542,0.819202415,0.927891279
5/2003,0.66026041,0.804913873,0.923323242
6/2003,0.648212118,0.792476184,0.917863225
7/2003,0.648472355,0.789758334,0.914674963
8/2003,0.645720415,0.78251787,0.907304122
9/2003,0.647817922,0.779995849,0.902807809
10/2003,0.641231673,0.773016618,0.898757875
11/2003,0.630185986,0.760939779,0.892390965
12/2003,0.61709195,0.74982325,0.887445854
1/2004,0.613365335,0.746354549,0.884986906
2/2004,0.611928727,0.74622344,0.885213607
3/2004,0.615105737,0.749390617,0.888470335
4/2004,0.615946394,0.753650545,0.894100478
5/2004,0.624033682,0.761680557,0.898993448
6/2004,0.632172841,0.768416287,0.902060148
7/2004,0.622419201,0.76050845,0.897052708
8/2004,0.612642405,0.752575821,0.892005793
9/2004,0.614856143,0.75433813,0.891509988
10/2004,0.624811656,0.762624244,0.89448119
11/2004,0.637957567,0.771999967,0.8988975
12/2004,0.659766202,0.784600703,0.902615658
1/2005,0.664508548,0.788419801,0.903365107
2/2005,0.648354475,0.780865126,0.901304709
3/2005,0.641812882,0.777593832,0.901218269
4/2005,0.63685961,0.775980524,0.901723446
5/2005,0.641318771,0.781768184,0.904915123
6/2005,0.651333495,0.791216026,0.909333869
7/2005,0.669537513,0.807457962,0.915920647
8/2005,0.688615342,0.825322286,0.923565128
9/2005,0.7286413,0.858130018,0.935705928
10/2005,0.730671154,0.865782556,0.942230632
11/2005,0.719372596,0.856912364,0.93689795
12/2005,0.699352586,0.84010195,0.929891192
1/2006,0.695920879,0.834469059,0.925283934
2/2006,0.69047719,0.828297089,0.921290903
3/2006,0.672621997,0.812491557,0.914981911
4/2006,0.670881755,0.80909536,0.91287893
5/2006,0.672197639,0.808608179,0.912609966
6/2006,0.670528776,0.806649456,0.911469193
7/2006,0.665541851,0.802599878,0.909377847
8/2006,0.668322354,0.805015549,0.909422628
9/2006,0.681122835,0.816422921,0.912988286
10/2006,0.667949463,0.805941983,0.909984741
11/2006,0.656982296,0.796837467,0.907862836
12/2006,0.657606238,0.795298096,0.908171228
1/2007,0.660078558,0.794239952,0.907073278
2/2007,0.657914492,0.791767463,0.905138424
3/2007,0.656405672,0.788131966,0.903108035
4/2007,0.650775383,0.784037127,0.902881465
5/2007,0.640643038,0.778939461,0.904330167
6/2007,0.644205827,0.784829595,0.910816513
7/2007,0.65647402,0.798479582,0.920391162
8/2007,0.677027219,0.818418706,0.932842128
9/2007,0.68502582,0.82665659,0.939008501
